"Source:","C:\Users\Greg Izatt\src\fallsdownlots\board_v2\board_v2\board_v2.kicad_sch"
"Date:","4/17/2023 2:16:00 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","31"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"A1","1","Adafruit_Feather_M0_Express","Adafruit_Feather_M0_Express","Module:Adafruit_Feather_M0_Wifi_WithMountingHoles","Microcontroller module with SAMD21 Cortex-M0 MCU and SPI Flash","",""
"C1, C7","2",".01uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C2, C3, C4, C8, C9, C10, C13","7",".1uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C5, C11","2",".47uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C6, C12","2","10uF","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor","",""
"D1","1","DSchottky","D_Schottky","Diode_SMD:D_SOD-128","Schottky diode","",""
"J1","1","Battery","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","MOTR_SENS","Conn_01x06_Female","Connector:JST MX x6","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","MOTL_SENS","Conn_01x06_Female","Connector:JST MX x6","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","MOTL","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J6","1","MOTR","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1, R2","2","R1K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R3","1","1M","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R4","1","470K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R5, R6","2","R10K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"SW1","1","SW_SPDT","SW_SPDT","downloaded:SW_L102021ML04Q","Switch, single pole double throw","",""
"U1","1","LD33V","LD33V","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","","",""
"U2","1","MPU-6050-Breakout","MPU-6050-Breakout","Sensor_Motion:MPU6050_Breakout_8pin_2.54mm","","",""
"U3, U5","2","DRV8313PWP","DRV8313PWP","downloaded:IC_TPS61196PWPRQ1","","",""
